epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,617.141,1.08601,2.65087,1.13871,0.74917,0.66381,0.73816,0.52398,0.99593,2.65978,1.12082,0.000474638,0.000474638,0.000474638
2,1179.87,1.11237,1.5418,1.16098,0.80565,0.73104,0.80598,0.57385,0.96736,1.74395,1.11585,0.000903898,0.000903898,0.000903898
3,1706.69,1.07895,1.17291,1.14097,0.78837,0.76576,0.82253,0.59404,0.9648,1.30488,1.14919,0.001286,0.001286,0.001286
4,2236.6,1.06973,1.07243,1.13815,0.81039,0.77694,0.853,0.6102,0.99867,1.05993,1.17681,0.00121679,0.00121679,0.00121679
5,2763.22,1.0411,0.95747,1.12552,0.87014,0.81407,0.89537,0.64965,0.9428,0.87184,1.1567,0.00114606,0.00114606,0.00114606
6,3292.75,1.02291,0.89953,1.11632,0.85527,0.86575,0.90708,0.68616,0.85682,0.89472,1.09321,0.00107532,0.00107532,0.00107532
7,3817.64,0.99444,0.82456,1.11287,0.8923,0.84718,0.91687,0.68616,0.87898,0.71632,1.10849,0.00100459,0.00100459,0.00100459
8,4366.76,0.98299,0.8102,1.10035,0.88542,0.81383,0.91697,0.69972,0.89903,0.72132,1.12708,0.000933851,0.000933851,0.000933851
9,4994.99,0.9437,0.75183,1.08138,0.87863,0.82879,0.89727,0.68429,0.84459,0.75938,1.08976,0.000863116,0.000863116,0.000863116
10,5521.54,0.93025,0.71072,1.07125,0.92402,0.896,0.93901,0.73529,0.84468,0.59817,1.0796,0.00079238,0.00079238,0.00079238
11,6040.6,0.86984,0.62652,1.05668,0.90457,0.88683,0.93832,0.73926,0.8203,0.58681,1.08703,0.000721645,0.000721645,0.000721645
12,7140,0.84694,0.59279,1.03693,0.92947,0.87114,0.93589,0.7332,0.80717,0.61761,1.0708,0.000650909,0.000650909,0.000650909
13,7660.87,0.81711,0.55198,1.01926,0.93306,0.88782,0.95042,0.75349,0.78535,0.54023,1.07297,0.000580174,0.000580174,0.000580174
14,12511.7,0.80746,0.52822,1.01526,0.92382,0.90495,0.94525,0.76613,0.77035,0.5349,1.04572,0.000509438,0.000509438,0.000509438
15,13208.8,0.79327,0.49784,1.00821,0.94421,0.88876,0.9519,0.77103,0.76759,0.49881,1.03266,0.000438703,0.000438703,0.000438703
16,13906.5,0.77564,0.47799,0.99876,0.90444,0.93629,0.95306,0.77494,0.76759,0.48842,1.04816,0.000367967,0.000367967,0.000367967
17,14602.4,0.75221,0.4624,0.98715,0.95786,0.90031,0.9566,0.77807,0.75598,0.46471,1.03232,0.000297232,0.000297232,0.000297232
18,15290.7,0.74138,0.43708,0.98099,0.94034,0.92626,0.95573,0.78045,0.76352,0.4858,1.04617,0.000226497,0.000226497,0.000226497
19,15990.1,0.72399,0.41862,0.96411,0.9654,0.91447,0.9582,0.7879,0.75418,0.46401,1.0406,0.000155761,0.000155761,0.000155761
20,27121.5,0.71334,0.40549,0.96567,0.96568,0.9166,0.95857,0.79174,0.75555,0.45462,1.04329,8.50255e-05,8.50255e-05,8.50255e-05
